duixiang,a,b,c,d,e,f
繁阳镇,1,1,1,1,1,1
荻港镇,2,1,1,1,1,1
孙村镇,1,1,1,1,1,1
平铺镇,2,1,1,1,1,1
新港镇,2,1,1,1,1,1
峨山镇,2,1,1,1,1,1
繁阳镇,1,1,1,1,1,1
荻港镇,1,1,1,1,1,1
孙村镇,1,1,1,1,1,1
平铺镇,1,1,1,1,1,1
新港镇,1,1,1,1,1,1
峨山镇,1,1,1,1,1,1
繁阳镇,1,1,1,1,1,1
荻港镇,1,1,1,1,1,1
孙村镇,1,1,1,1,1,1
平铺镇,1,1,1,1,1,1
新港镇,1,1,1,1,1,1
峨山镇,1,1,1,1,1,1
繁阳镇,1,1,1,1,1,1
荻港镇,2,2,2,2,2,2
孙村镇,2,2,2,2,2,2
平铺镇,1,1,1,1,1,1
新港镇,2,2,2,2,2,2
峨山镇,1,1,1,1,1,1
繁阳镇,1,1,1,1,1,1
荻港镇,1,1,1,1,1,1
孙村镇,1,1,1,1,1,1
平铺镇,1,1,1,1,1,1
新港镇,1,1,1,1,1,1
峨山镇,1,1,2,1,2,1
繁阳镇,1,1,1,1,1,1
荻港镇,1,1,1,1,1,1
孙村镇,1,1,1,1,1,1
平铺镇,1,1,1,1,1,1
新港镇,1,1,1,1,1,1
峨山镇,1,1,1,1,1,1
繁阳镇,1,1,1,1,1,1
荻港镇,1,1,1,1,1,1
孙村镇,1,1,1,1,1,1
平铺镇,1,1,1,1,1,1
新港镇,1,1,1,1,1,1
峨山镇,1,1,1,1,1,1
繁阳镇,1,1,1,1,1,1
荻港镇,1,1,1,1,1,1
孙村镇,1,1,1,1,1,1
平铺镇,1,1,1,1,1,1
新港镇,1,1,1,1,1,1
峨山镇,1,1,1,1,1,1
繁阳镇,1,1,1,1,1,1
荻港镇,1,1,1,1,1,1
孙村镇,1,1,1,1,1,1
平铺镇,1,1,1,1,1,1
新港镇,1,1,1,1,1,1
峨山镇,1,1,1,1,1,1
繁阳镇,2,2,2,1,2,2
荻港镇,2,3,2,2,2,3
孙村镇,2,3,2,2,2,3
平铺镇,2,3,2,2,2,3
新港镇,2,3,2,2,2,3
峨山镇,2,3,2,2,2,3
繁阳镇,1,2,1,1,1,1
荻港镇,1,2,2,2,2,1
孙村镇,1,2,2,2,2,1
平铺镇,1,2,2,2,2,1
新港镇,1,2,2,2,2,1
峨山镇,1,2,2,2,2,1
繁阳镇,2,3,2,2,2,2
荻港镇,2,3,2,2,3,2
孙村镇,2,3,2,2,3,2
平铺镇,3,3,2,2,3,3
新港镇,2,3,2,2,3,3
峨山镇,3,3,2,2,3,3
繁阳镇,2,1,2,2,1,2
荻港镇,2,2,2,2,1,2
孙村镇,1,1,1,1,1,1
平铺镇,2,2,2,2,1,2
新港镇,3,2,3,2,1,1
峨山镇,1,1,1,1,5,5
繁阳镇,2,2,1,2,5,2
荻港镇,1,2,2,2,5,2
孙村镇,2,2,2,2,5,2
