duixiang,a,b,c,d,e,f
繁阳镇,1,1,1,1,1,1
繁阳镇,1,1,1,1,1,1
繁阳镇,1,1,1,1,1,1
繁阳镇,1,1,1,1,1,1
繁阳镇,1,1,1,1,1,1
繁阳镇,1,1,1,1,1,1
繁阳镇,1,1,1,1,1,1
繁阳镇,1,1,1,1,1,1
繁阳镇,1,1,1,1,1,1
繁阳镇,1,1,1,1,1,1
繁阳镇,1,1,1,1,1,1
繁阳镇,1,1,1,1,1,1
孙村镇,1,1,1,1,1,1
孙村镇,1,1,1,1,1,1
孙村镇,1,1,1,1,1,1
孙村镇,1,1,1,1,1,1
孙村镇,1,1,1,1,1,1
孙村镇,1,1,1,1,1,1
孙村镇,1,1,1,1,1,1
孙村镇,1,1,1,1,1,1
孙村镇,1,1,1,1,1,1
孙村镇,1,1,1,1,1,1
孙村镇,1,1,1,1,1,1
孙村镇,2,1,1,1,1,1
荻港镇,1,1,1,1,1,1
荻港镇,1,1,1,1,1,1
荻港镇,1,1,1,1,1,1
荻港镇,1,1,1,1,1,1
荻港镇,1,1,1,1,1,1
荻港镇,1,1,1,1,1,1
荻港镇,1,1,2,2,3,2
荻港镇,1,1,1,2,3,1
荻港镇,1,1,1,1,1,1
荻港镇,1,1,1,1,1,1
荻港镇,1,1,1,1,1,1
荻港镇,1,1,1,1,1,1
新港镇,1,1,1,1,1,1
新港镇,1,1,1,1,1,1
新港镇,1,1,1,1,1,1
新港镇,1,1,1,1,1,1
新港镇,1,1,1,1,1,1
新港镇,1,1,1,1,1,1
新港镇,1,1,2,1,1,1
新港镇,1,1,1,1,1,1
新港镇,1,1,1,1,1,1
新港镇,1,1,1,1,1,1
新港镇,1,1,1,1,1,1
新港镇,1,1,1,1,1,1
峨山镇,1,1,1,1,1,1
峨山镇,1,1,1,1,1,1
峨山镇,1,1,1,1,1,1
峨山镇,1,1,1,1,1,1
峨山镇,1,1,1,1,1,1
峨山镇,1,1,1,1,1,1
峨山镇,1,1,1,1,1,1
峨山镇,1,1,1,1,1,1
峨山镇,1,1,1,1,1,1
峨山镇,1,1,1,1,1,1
峨山镇,1,1,1,1,1,1
峨山镇,1,1,1,1,1,1
平铺镇,1,1,1,1,1,1
平铺镇,1,1,1,1,1,1
平铺镇,1,1,1,1,1,1
平铺镇,1,1,1,1,1,1
平铺镇,1,1,1,1,1,1
平铺镇,1,1,1,1,1,1
平铺镇,1,1,1,1,1,1
平铺镇,1,1,1,1,1,1
平铺镇,1,1,1,1,1,1
平铺镇,1,1,1,1,2,2
平铺镇,1,1,1,1,1,1
平铺镇,1,1,1,1,1,1
